Start,Duration,CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Throughput,SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2.59355s,3.000 ms,3428,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.59655s,2.340 ms,3451,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.59656s,1.343 ms,3499,-,-,-,-,-,-,-,-,-,64.00 MiB,46.50 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.59889s,189.888 μs,3458,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.59909s,2.999 ms,3467,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.60209s,2.341 ms,3477,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.60443s,189.920 μs,3484,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.60462s,2.999 ms,3493,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.60762s,2.341 ms,3516,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.60763s,1.352 ms,3564,-,-,-,-,-,-,-,-,-,64.00 MiB,46.19 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.60997s,189.281 μs,3523,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.61016s,2.998 ms,3532,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.61316s,2.341 ms,3542,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.6155s,189.761 μs,3549,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.61569s,2.998 ms,3558,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.61869s,2.340 ms,3581,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.6187s,1.345 ms,3629,-,-,-,-,-,-,-,-,-,64.00 MiB,46.44 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.62104s,190.049 μs,3588,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.62123s,2.999 ms,3597,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.62423s,2.341 ms,3607,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.62657s,189.985 μs,3614,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.62676s,2.998 ms,3623,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.62976s,2.341 ms,3646,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.62976s,1.348 ms,3694,-,-,-,-,-,-,-,-,-,64.00 MiB,46.31 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.6321s,189.568 μs,3653,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.6323s,2.998 ms,3662,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.63529s,2.341 ms,3672,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.63764s,189.857 μs,3679,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.63783s,2.998 ms,3688,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.64083s,2.341 ms,3707,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.64084s,1.349 ms,3755,-,-,-,-,-,-,-,-,-,64.00 MiB,46.31 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.64318s,189.729 μs,3714,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.64337s,2.998 ms,3723,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.64637s,2.340 ms,3733,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.64871s,189.857 μs,3740,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.6489s,2.998 ms,3749,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.6519s,1.386 ms,3760,-,-,-,-,-,-,-,-,-,64.00 MiB,45.06 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
